year,week,county,cumulative_cases,inferred_new_cases
2025,45,Hillsborough,1,0
2025,45,Miami-Dade,19,3
2025,45,Pasco,1,0
2025,46,Brevard,35,0
2025,46,Hillsborough,1,0
2025,46,Miami-Dade,21,2
2025,46,Pasco,1,0
2025,47,Brevard,35,0
2025,47,Hillsborough,1,0
2025,47,Miami-Dade,23,2
2025,47,Pasco,1,0
2025,48,Brevard,35,0
2025,48,Hillsborough,1,0
2025,48,Miami-Dade,24,1
2025,48,Pasco,1,0
2025,49,Brevard,35,0
2025,49,Hillsborough,1,0
2025,49,Miami-Dade,24,0
2025,49,Pasco,1,0
2025,50,Brevard,35,0
2025,50,Hillsborough,1,0
2025,50,Miami-Dade,24,0
2025,50,Pasco,1,0
2025,51,Brevard,35,0
2025,51,Hillsborough,1,0
2025,51,Miami-Dade,25,1
2025,51,Pasco,1,0
2025,52,Brevard,35,0
2025,52,Hillsborough,1,0
2025,52,Miami-Dade,25,0
2025,52,Pasco,1,0
2025,53,Brevard,35,0
2025,53,Hillsborough,1,0
2025,53,Miami-Dade,25,0
2025,53,Pasco,1,0
