dengue_year,dengue_week,week_date_range,weekly_travel_cases,cumulative_travel_cases,weekly_local_cases,cumulative_local_cases,dengue_week_start,dengue_week_end,climate_year,climate_week,Week_Start,Week_End,Temp @ 60cm (C) Avg (Weekly Avg),Temp @ 2m (C) Avg (Weekly Avg),Temp @ 10m (C) Avg (Weekly Avg),Relative Humidity (%) Avg (Weekly Avg),Rainfall Amount (in) Sum (Weekly Avg)
2024,7,"February 11-17, 2024",5.0,79.0,0.0,12.0,2024-02-11,2024-02-17,2024,6,2024-02-11,2024-02-17,17.6139,17.5795,17.7841,78.7318,0.1223
2024,8,"February 18-24, 2024",7.0,86.0,2.0,14.0,2024-02-18,2024-02-24,2024,7,2024-02-18,2024-02-24,13.8735,13.8965,14.2268,72.7122,0.1977
2024,9,"February 25-March 2, 2024",4.0,90.0,0.0,14.0,2024-02-25,2024-03-02,2024,8,2024-02-25,2024-03-02,18.2665,18.2748,18.6024,74.4806,0.0147
2024,10,"March 3-9, 2024",9.0,99.0,0.0,14.0,2024-03-03,2024-03-09,2024,9,2024-03-03,2024-03-09,21.7532,21.6023,21.6342,83.9347,0.2126
2024,11,"March 10-16, 2024",8.0,107.0,0.0,14.0,2024-03-10,2024-03-16,2024,10,2024-03-10,2024-03-16,19.9408,19.8326,20.0325,73.9929,0.0242
2024,12,"March 17-23, 2024",10.0,117.0,0.0,14.0,2024-03-17,2024-03-23,2024,11,2024-03-17,2024-03-23,19.0458,18.9163,19.0128,74.3824,0.1461
2024,13,"March 24-30, 2024",8.0,125.0,1.0,15.0,2024-03-24,2024-03-30,2024,12,2024-03-24,2024-03-30,20.1027,19.9952,20.0992,73.7427,0.092
2024,14,"March 31-April 6, 2024",9.0,134.0,0.0,15.0,2024-03-31,2024-04-06,2024,13,2024-03-31,2024-04-06,19.9712,19.8669,20.0863,73.1056,0.1136
2024,15,"April 7-13, 2024",12.0,146.0,0.0,15.0,2024-04-07,2024-04-13,2024,14,2024-04-07,2024-04-13,20.4966,20.4478,20.5218,70.2385,0.1681
2024,16,"April 14-20, 2024",13.0,159.0,0.0,15.0,2024-04-14,2024-04-20,2024,15,2024-04-14,2024-04-20,22.3198,22.1816,22.3848,71.5723,0.0038
2024,17,"April 21-27, 2024",19.0,178.0,1.0,16.0,2024-04-21,2024-04-27,2024,16,2024-04-21,2024-04-27,21.2784,21.0895,21.1937,71.4906,0.0177
2024,18,"April 28-May 4, 2024",16.0,194.0,0.0,16.0,2024-04-28,2024-05-04,2024,17,2024-04-28,2024-05-04,24.1696,23.8885,23.8715,74.0285,0.0622
2024,19,"May 5-11, 2024",10.0,204.0,0.0,16.0,2024-05-05,2024-05-11,2024,18,2024-05-05,2024-05-11,26.3479,26.0416,26.0157,74.9456,0.0754
2024,20,"May 12-18, 2024",9.0,213.0,1.0,17.0,2024-05-12,2024-05-18,2024,19,2024-05-12,2024-05-18,25.8978,25.7105,25.7357,79.4571,0.2685
2024,21,"May 19-25, 2024",17.0,230.0,0.0,17.0,2024-05-19,2024-05-25,2024,20,2024-05-19,2024-05-25,26.4288,26.112,26.1367,73.9725,0.0311
2024,22,"May 26-June 1, 2024",8.0,238.0,0.0,17.0,2024-05-26,2024-06-01,2024,21,2024-05-26,2024-06-01,27.2129,26.9508,27.0445,69.5031,0.0531
2024,23,"June 2-8, 2024",17.0,255.0,0.0,17.0,2024-06-02,2024-06-08,2024,22,2024-06-02,2024-06-08,27.3425,27.0022,27.0014,73.7407,0.0687
2024,24,"June 9-15, 2024",7.0,262.0,0.0,17.0,2024-06-09,2024-06-15,2024,23,2024-06-09,2024-06-15,27.5486,27.3675,27.2143,79.8234,0.4789
2024,25,"June 16-22, 2024",15.0,277.0,1.0,18.0,2024-06-16,2024-06-22,2024,24,2024-06-16,2024-06-22,27.4354,27.327,27.1306,78.0682,0.108
2024,26,"June 23-29, 2024",7.0,284.0,2.0,20.0,2024-06-23,2024-06-29,2024,25,2024-06-23,2024-06-29,27.6284,27.4229,27.3576,83.3194,0.3158
2024,27,"June 30-July 6, 2024",8.0,292.0,0.0,20.0,2024-06-30,2024-07-06,2024,26,2024-06-30,2024-07-06,28.1861,27.8631,27.8606,82.4751,0.2222
